,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W/L
17,Latavius Murray,NOR,1,1,8,0,0,-2,-2.0,10,10.0,-2.0,0,,0,0.0,0,100.0,W
18,Tre'Quan Smith,NOR,2,1,18,0,1,17,17.0,1,1.0,11.0,0,,0,0.0,0,81.2,W
0,T.J. Hockenson,MIN,9,9,70,0,5,50,5.6,20,2.2,5.6,0,,0,0.0,0,99.1,W
1,Justin Jefferson,MIN,13,7,115,1,4,87,12.4,28,4.0,14.1,0,,1,7.7,1,77.4,W
2,Adam Thielen,MIN,7,3,67,0,2,48,16.0,19,6.3,17.1,0,,0,0.0,0,77.7,W
3,Dalvin Cook,MIN,6,2,9,1,1,7,3.5,2,1.0,0.8,0,,1,16.7,0,81.9,W
4,Alexander Mattison,MIN,1,1,0,0,,0,0.0,0,0.0,0.0,0,,0,0.0,0,79.2,W
5,Johnny Mundt,MIN,1,1,1,0,,1,1.0,0,0.0,1.0,0,,0,0.0,0,79.2,W
6,K.J. Osborn,MIN,2,0,0,0,,0,,0,,16.5,0,,0,0.0,0,39.6,W
7,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,W
8,Terry McLaurin,WAS,9,5,56,0,3,43,8.6,13,2.6,9.3,0,,0,0.0,0,74.3,W
9,Curtis Samuel,WAS,4,3,65,1,2,60,20.0,5,1.7,14.0,0,,0,0.0,0,156.2,W
10,Antonio Gibson,WAS,3,2,11,0,1,3,1.5,8,4.0,-0.7,0,,0,0.0,0,72.9,W
11,Brian Robinson Jr.,WAS,2,2,-6,0,0,-7,-3.5,1,0.5,-3.5,0,,0,0.0,0,79.2,W
12,John Bates,WAS,2,1,5,0,1,-5,-5.0,10,10.0,9.0,0,,0,0.0,0,56.2,W
13,Dax Milne,WAS,1,1,6,1,1,4,4.0,2,2.0,4.0,0,,0,0.0,0,131.2,W
14,Cam Sims,WAS,1,1,12,0,1,9,9.0,3,3.0,9.0,0,,0,0.0,0,116.7,W
15,Dyami Brown,WAS,1,0,0,0,,0,,0,,6.0,0,,0,0.0,0,39.6,W
16,Logan Thomas,WAS,3,0,0,0,,0,,0,,14.7,0,,0,0.0,1,0.0,W
0,Justin Jefferson,MIN,15,11,223,0,8,167,15.2,56,5.1,15.3,1,11.0,0,0.0,0,115.3,L
1,Adam Thielen,MIN,8,7,65,1,4,38,5.4,27,3.9,10.4,1,7.0,0,0.0,0,140.1,L
2,T.J. Hockenson,MIN,8,6,77,0,3,61,10.2,16,2.7,6.9,1,6.0,1,12.5,0,104.7,L
3,K.J. Osborn,MIN,5,5,38,1,2,23,4.6,15,3.0,4.6,0,,0,0.0,0,137.9,L
4,Dalvin Cook,MIN,2,1,13,0,1,0,0.0,13,13.0,4.0,0,,0,0.0,0,70.8,L
5,C.J. Ham,MIN,1,1,9,0,,9,9.0,0,0.0,9.0,0,,0,0.0,0,104.2,L
6,Jalen Reagor,MIN,1,0,0,0,,0,,0,,42.0,0,,0,0.0,0,39.6,L
7,Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,L
8,Amon-Ra St. Brown,DET,9,6,68,0,3,50,8.3,18,3.0,6.9,0,,0,0.0,0,89.1,L
9,DJ Chark,DET,7,6,94,1,5,54,9.0,40,6.7,9.3,0,,0,0.0,0,158.3,L
10,Josh Reynolds,DET,6,5,51,1,4,39,7.8,12,2.4,11.3,0,,0,0.0,0,141.7,L
