,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W/L
2,Patrick Mahomes,KAN,2,9,1,1,9,4.5,0,0.0,0,,L
3,Skyy Moore,KAN,1,12,0,1,9,9.0,3,3.0,0,,L
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
5,Samaje Perine,CIN,21,106,0,4,55,2.6,51,2.4,2,10.5,L
6,Joe Burrow,CIN,11,46,1,4,27,2.5,19,1.7,0,,L
7,Trent Taylor,CIN,1,-3,0,,-3,-3.0,0,0.0,0,,L
8,Trayveon Williams,CIN,1,3,0,,1,1.0,2,2.0,0,,L
0,Ronald Jones II,KAN,10,45,1,3,31,3.1,14,1.4,1,10.0,W
1,Isiah Pacheco,KAN,8,64,1,2,42,5.3,22,2.8,0,,W
2,Patrick Mahomes,KAN,3,29,0,2,24,8.0,5,1.7,0,,W
3,Kadarius Toney,KAN,3,26,1,3,12,4.0,14,4.7,1,3.0,W
4,Chad Henne,KAN,2,-2,0,,-2,-1.0,0,0.0,0,,W
5,Jerick McKinnon,KAN,2,6,0,1,-1,-0.5,7,3.5,1,2.0,W
6,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
7,Josh Jacobs,LVR,17,45,0,3,25,1.5,20,1.2,2,8.5,W
8,Jarrett Stidham,LVR,7,50,0,3,49,7.0,1,0.1,0,,W
9,Zamir White,LVR,1,4,0,,3,3.0,1,1.0,0,,W
0,Derrick Henry,TEN,17,115,2,5,43,2.5,72,4.2,2,8.5,W
1,Malik Willis,TEN,8,40,0,1,32,4.0,8,1.0,1,8.0,W
2,Dontrell Hilliard,TEN,3,12,0,,9,3.0,3,1.0,0,,W
3,Hassan Haskins,TEN,1,5,0,,4,4.0,1,1.0,0,,W
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
5,Patrick Mahomes,KAN,6,63,1,3,61,10.2,2,0.3,0,,W
6,Isiah Pacheco,KAN,5,5,0,1,3,0.6,2,0.4,0,,W
7,Clyde Edwards-Helaire,KAN,4,5,0,1,2,0.5,3,0.8,0,,W
8,Jerick McKinnon,KAN,3,4,0,0,3,1.0,1,0.3,0,,W
9,Michael Burton,KAN,1,0,0,,0,0.0,0,0.0,0,,W
0,Clyde Edwards-Helaire,KAN,19,92,1,5,48,2.5,44,2.3,1,19.0,W
1,Isiah Pacheco,KAN,11,63,0,,35,3.2,28,2.5,1,11.0,W
2,Patrick Mahomes,KAN,4,34,0,2,34,8.5,0,0.0,0,,W
3,Jerick McKinnon,KAN,2,-1,0,,-1,-0.5,0,0.0,0,,W
4,Noah Gray,KAN,1,1,1,1,1,1.0,0,0.0,0,,W
