,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
9,Brock Purdy,SFO,1,6,0,0,5,5.0,1,1.0,0,
0,Jeff Wilson,SFO,12,75,0,3,56,4.7,19,1.6,0,
1,Deebo Samuel,SFO,5,6,0,0,5,1.0,1,0.2,0,
2,Jimmy Garoppolo,SFO,1,0,0,0,0,0.0,0,0.0,0,
3,Jordan Mason,SFO,1,7,0,,4,4.0,3,3.0,0,
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
5,Javonte Williams,DEN,15,58,0,1,33,2.2,25,1.7,2,7.5
6,Melvin Gordon,DEN,12,26,1,3,3,0.3,23,1.9,0,
7,Russell Wilson,DEN,6,17,0,1,16,2.7,1,0.2,0,
0,Jeff Wilson,SFO,7,25,0,2,16,2.3,9,1.3,0,
1,Tevin Coleman,SFO,4,3,0,,-1,-0.3,4,1.0,0,
2,Jimmy Garoppolo,SFO,3,11,0,2,5,1.7,6,2.0,0,
3,Deebo Samuel,SFO,2,11,0,0,9,4.5,2,1.0,0,
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
5,Caleb Huntley,ATL,16,59,0,3,31,1.9,28,1.8,0,
6,Tyler Allgeier,ATL,15,51,0,2,25,1.7,26,1.7,0,
7,Marcus Mariota,ATL,6,50,1,4,47,7.8,3,0.5,0,
8,Avery Williams,ATL,2,6,0,,6,3.0,0,0.0,0,
9,Keith Smith,ATL,1,2,0,1,0,0.0,2,2.0,0,
