,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
0,Emmanuel Moseley,SFO,0,7,5,71.4%,51,10.2,7.3,0,92.0,6.4,23,28,0,0,0,0.0,0,8,1,11.1%,L
1,Dre Greenlaw,SFO,0,6,5,83.3%,38,7.6,6.3,0,93.1,0.3,0,38,1,0,0,0.0,0,10,0,0.0%,L
2,Deommodore Lenoir,SFO,0,6,4,66.7%,4,1.0,0.7,0,70.1,1.3,-5,9,1,1,0,0.0,1,5,0,0.0%,L
3,Tashaun Gipson,SFO,0,3,3,100.0%,44,14.7,14.7,0,118.7,13.0,39,5,0,0,0,0.0,0,5,0,0.0%,L
4,Fred Warner,SFO,0,4,2,50.0%,39,19.5,9.8,0,84.4,7.5,29,10,2,0,0,0.0,0,7,1,12.5%,L
5,Charvarius Ward,SFO,0,6,2,33.3%,27,13.5,4.5,0,48.6,17.3,24,3,1,0,0,0.0,0,8,0,0.0%,L
6,Samuel Womack,SFO,0,1,1,100.0%,0,0.0,0.0,0,79.2,-2.0,-2,2,0,0,0,0.0,0,2,0,0.0%,L
7,Nick Bosa,SFO,0,0,0,,,,,,,,,,0,1,3,1.0,5,2,0,0.0%,L
8,Kevin Givens,SFO,0,0,0,,,,,,,,,,0,1,0,1.0,2,3,1,25.0%,L
9,Drake Jackson,SFO,0,0,0,,,,,,,,,,0,0,1,1.0,2,1,0,0.0%,L
10,Javon Kinlaw,SFO,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,1,50.0%,L
11,Samson Ebukam,SFO,0,0,0,,,,,,,,,,2,0,1,0.0,1,2,0,0.0%,L
12,Kerry Hyder,SFO,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,L
13,Taybor Pepper,SFO,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,L
14,Talanoa Hufanga,SFO,0,2,0,0.0%,,,0.0,,39.6,16.5,,,4,0,0,0.0,0,4,0,0.0%,L
15,Azeez Al-Shaair,SFO,0,0,0,,,,,,,,,,1,0,0,0.0,0,5,2,28.6%,L
16,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,L
17,Josey Jewell,DEN,0,4,4,100.0%,55,13.8,13.8,0,118.7,8.3,33,22,2,0,1,1.0,2,9,1,10.0%,L
18,Kareem Jackson,DEN,0,5,4,80.0%,56,14.0,11.2,0,113.3,10.4,41,15,0,0,0,0.0,0,6,2,25.0%,L
19,P.J. Locke,DEN,0,3,3,100.0%,27,9.0,9.0,0,104.2,2.0,6,21,0,0,0,0.0,0,4,1,20.0%,L
20,K'Waun Williams,DEN,0,4,3,75.0%,42,14.0,10.5,0,108.3,8.0,28,14,1,0,0,0.0,0,5,0,0.0%,L
21,Ronald Darby,DEN,0,5,2,40.0%,13,6.5,2.6,1,87.5,0.2,4,9,0,0,0,0.0,0,3,1,25.0%,L
22,Bradley Chubb,DEN,0,1,1,100.0%,24,24.0,24.0,0,118.7,23.0,23,1,7,1,0,1.0,2,2,1,33.3%,L
23,Caden Sterns,DEN,0,3,1,33.3%,25,25.0,8.3,0,64.6,10.7,14,11,0,0,0,0.0,0,4,1,20.0%,L
24,Randy Gregory,DEN,0,0,0,,,,,,,,,,7,0,1,1.0,2,3,0,0.0%,L
25,Dre'Mont Jones,DEN,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,L
26,Mike Purcell,DEN,0,0,0,,,,,,,,,,0,0,0,1.0,1,5,0,0.0%,L
27,Jonas Griffith,DEN,1,0,0,,,,,,,,,,1,0,0,0.0,0,4,0,0.0%,L
28,Patrick Surtain II,DEN,0,6,0,0.0%,,,0.0,,39.6,13.8,,,1,0,0,0.0,0,1,0,0.0%,L
29,Baron Browning,DEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,,L
30,Nik Bonitto,DEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,L
0,Tashaun Gipson,SFO,0,3,3,100.0%,44,14.7,14.7,0,118.7,7.0,21,23,0,0,0,0.0,0,9,0,0.0%,L
1,Fred Warner,SFO,0,2,2,100.0%,11,5.5,5.5,0,89.6,0.5,1,10,1,0,0,0.0,0,10,0,0.0%,L
2,George Odum,SFO,0,2,2,100.0%,8,4.0,4.0,1,122.9,4.0,8,0,0,0,0,0.0,0,1,0,0.0%,L
3,Talanoa Hufanga,SFO,0,2,2,100.0%,18,9.0,9.0,0,104.2,2.0,4,14,0,0,0,0.0,0,6,0,0.0%,L
4,Samuel Womack,SFO,0,1,1,100.0%,7,7.0,7.0,1,135.4,7.0,7,0,0,0,0,0.0,0,4,0,0.0%,L
5,Charvarius Ward,SFO,0,1,1,100.0%,15,15.0,15.0,0,118.7,9.0,9,6,0,0,0,0.0,0,2,0,0.0%,L
6,Dre Greenlaw,SFO,0,1,1,100.0%,6,6.0,6.0,0,91.7,5.0,5,1,0,0,0,0.0,0,6,0,0.0%,L
7,Deommodore Lenoir,SFO,0,2,1,50.0%,20,20.0,10.0,0,85.4,11.0,17,3,0,0,0,0.0,0,2,0,0.0%,L
8,Charles Omenihu,SFO,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%,L
9,Drake Jackson,SFO,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,L
10,Oren Burks,SFO,0,0,0,,,,,,,,,,1,0,0,0.0,0,6,0,0.0%,L
11,Kemoko Turay,SFO,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%,L
12,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,L
13,Rashaan Evans,ATL,0,10,8,80.0%,109,13.6,10.9,0,112.1,6.3,54,55,3,0,0,0.0,0,11,1,8.3%,L
14,AJ Terrell,ATL,0,7,5,71.4%,52,10.4,7.4,2,132.1,8.9,12,40,0,0,0,0.0,0,4,1,20.0%,L
15,Isaiah Oliver,ATL,1,5,5,100.0%,30,6.0,6.0,0,52.1,8.8,6,24,1,0,0,0.0,0,3,0,0.0%,L
16,Casey Hayward,ATL,0,3,3,100.0%,27,9.0,9.0,0,104.2,7.7,23,4,0,0,0,0.0,0,2,1,33.3%,L
17,Grady Jarrett,ATL,0,2,2,100.0%,15,7.5,7.5,0,97.9,-3.0,-6,21,0,0,0,0.0,0,3,0,0.0%,L
18,Troy Andersen,ATL,0,3,2,66.7%,14,7.0,4.7,0,77.1,3.7,3,11,0,0,0,0.0,0,13,0,0.0%,L
19,Arnold Ebiketie,ATL,0,2,1,50.0%,10,10.0,5.0,0,64.6,2.0,-5,15,1,0,2,0.0,2,4,0,0.0%,L
20,Darren Hall,ATL,0,3,1,33.3%,3,3.0,1.0,0,42.4,20.7,-2,5,0,0,0,0.0,0,2,0,0.0%,L
21,Richie Grant,ATL,0,3,1,33.3%,6,6.0,2.0,0,42.4,12.3,-4,10,0,0,0,0.0,0,6,1,14.3%,L
22,Mike Ford,ATL,0,1,1,100.0%,21,21.0,21.0,0,118.7,4.0,4,17,0,0,0,0.0,0,2,0,0.0%,L
23,Lorenzo Carter,ATL,0,1,1,100.0%,9,9.0,9.0,0,104.2,-1.0,-1,10,0,0,0,0.0,0,0,0,,L
24,Nathan Landman,ATL,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,L
25,Ta'Quon Graham,ATL,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,L
26,Quinton Bell,ATL,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,L
27,DeAundre Alford,ATL,0,1,0,0.0%,,,0.0,,39.6,10.0,,,0,0,0,0.0,0,0,0,,L
28,Jaylinn Hawkins,ATL,1,0,0,,,,,,,,,,0,0,0,0.0,0,4,1,20.0%,L
