,W/L,Player,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
58,W,Bryan Cook,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,<avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,>avgSk,>avgPrss,<avgComb,<avgMTkl,<avgMTkl%
59,L,Rashad Fenton,<avgInt,>avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,<avgMTkl,<avgMTkl%
60,L,L'Jarius Sneed,<avgInt,>avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,>avgBltz,<avgHrry,<avgQBKD,>avgSk,>avgPrss,>avgComb,>avgMTkl,>avgMTkl%
61,L,Jaylen Watson,<avgInt,>avgTgt,>avgCmp,<avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,>avgMTkl,>avgMTkl%
62,L,Juan Thornhill,<avgInt,>avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,>avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,<avgMTkl,<avgMTkl%
63,L,Darius Harris,<avgInt,>avgTgt,>avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,>avgTD,>avgRat,<avgDADOT,<avgAir,>avgYAC,>avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,>avgMTkl,<avgMTkl%
64,L,Nick Bolton,<avgInt,<avgTgt,>avgCmp,>avgCmp%,<avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,>avgAir,<avgYAC,>avgBltz,<avgHrry,<avgQBKD,>avgSk,>avgPrss,>avgComb,<avgMTkl,<avgMTkl%
65,L,Frank Clark,<avgInt,<avgTgt,>avgCmp,>avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,>avgRat,<avgDADOT,<avgAir,>avgYAC,<avgBltz,<avgHrry,<avgQBKD,>avgSk,>avgPrss,<avgComb,>avgMTkl,>avgMTkl%
66,L,Justin Reid,<avgInt,<avgTgt,<avgCmp,>avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,<avgAir,<avgYAC,>avgBltz,<avgHrry,>avgQBKD,<avgSk,>avgPrss,>avgComb,<avgMTkl,<avgMTkl%
67,L,George Karlaftis III,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,>avgTD,>avgRat,<avgDADOT,<avgAir,<avgYAC,<avgBltz,>avgHrry,<avgQBKD,<avgSk,>avgPrss,>avgComb,<avgMTkl,<avgMTkl%
