,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W/L
7,Boston Scott,PHI,4,19,0,1,16,4.0,3,0.8,0,,L
8,Kenneth Gainwell,PHI,2,7,0,1,3,1.5,4,2.0,0,,L
0,Rhamondre Stevenson,NWE,7,36,0,2,22,3.1,14,2.0,0,,W
1,Damien Harris,NWE,5,16,0,1,12,2.4,4,0.8,0,,W
2,Kendrick Bourne,NWE,1,-7,0,0,-7,-7.0,0,0.0,0,,W
3,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
4,Dalvin Cook,MIN,22,42,0,0,38,1.7,4,0.2,0,,W
5,Alexander Mattison,MIN,3,11,0,1,9,3.0,2,0.7,0,,W
6,Kirk Cousins,MIN,1,-1,0,0,-1,-1.0,0,0.0,0,,W
7,K.J. Osborn,MIN,1,5,0,1,3,3.0,2,2.0,0,,W
0,Ezekiel Elliott,DAL,15,42,2,5,30,2.0,12,0.8,1,15.0,L
1,Tony Pollard,DAL,15,80,0,5,43,2.9,37,2.5,0,,L
2,Malik Davis,DAL,7,13,0,1,12,1.7,1,0.1,1,7.0,L
3,Dak Prescott,DAL,3,16,0,1,15,5.0,1,0.3,1,3.0,L
4,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,L
5,Dalvin Cook,MIN,11,72,0,3,59,5.4,13,1.2,0,,L
6,Kene Nwangwu,MIN,4,1,0,,-1,-0.3,2,0.5,0,,L
7,Alexander Mattison,MIN,2,0,0,,0,0.0,0,0.0,0,,L
0,AJ Dillon,GNB,10,45,1,4,30,3.0,15,1.5,1,10.0,W
1,Aaron Jones,GNB,5,49,0,3,25,5.0,24,4.8,0,,W
2,Romeo Doubs,GNB,1,11,0,1,11,11.0,0,0.0,0,,W
3,Aaron Rodgers,GNB,1,-1,0,0,-1,-1.0,0,0.0,0,,W
4,Christian Watson,GNB,1,7,0,0,7,7.0,0,0.0,0,,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Dalvin Cook,MIN,20,90,0,5,56,2.8,34,1.7,2,10.0,W
7,Alexander Mattison,MIN,8,36,0,2,16,2.0,20,2.5,2,4.0,W
0,Zack Moss,IND,24,81,0,3,34,1.4,47,2.0,1,24.0,W
1,Deon Jackson,IND,13,55,0,2,25,1.9,30,2.3,0,,W
2,Matt Ryan,IND,3,0,0,0,0,0.0,0,0.0,0,,W
3,Michael Pittman Jr.,IND,2,30,0,2,24,12.0,6,3.0,0,,W
4,Ashton Dulin,IND,1,5,0,1,5,5.0,0,0.0,0,,W
5,Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,W
6,Dalvin Cook,MIN,17,95,0,3,63,3.7,32,1.9,1,17.0,W
7,Kirk Cousins,MIN,2,0,0,0,-1,-0.5,1,0.5,0,,W
8,C.J. Ham,MIN,2,1,1,1,0,0.0,1,0.5,0,,W
9,Alexander Mattison,MIN,2,1,0,,0,0.0,1,0.5,0,,W
10,Jalen Reagor,MIN,1,-5,0,,-5,-5.0,0,0.0,0,,W
