,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W/L
1,Skylar Thompson,MIA,0,1,0,,,22,22.0,0,,0.0,0,,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Brock Purdy,SFO,25,37,210,13,32.5,200,5.4,92,3.7,2.5,118,4.7,2,5.6%,5,13.9%,3,12,2,4,9,22.5%,0,,W
4,Jimmy Garoppolo,SFO,2,4,56,2,40.0,44,11.0,34,17.0,8.5,22,11.0,2,50.0%,0,0.0%,1,1,0,0,1,20.0%,0,,W
0,Taylor Heinicke,WAS,13,18,166,10,50.0,195,10.8,131,10.1,7.3,35,2.7,1,5.6%,3,16.7%,2,3,1,2,5,25.0%,0,,W
1,Carson Wentz,WAS,12,16,123,8,50.0,86,5.4,57,4.8,3.6,66,5.5,1,6.3%,1,6.3%,0,7,0,3,3,18.8%,0,,W
2,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
3,Brock Purdy,SFO,15,22,234,8,32.0,183,8.3,129,8.6,5.9,105,7.0,2,9.5%,1,4.8%,3,10,1,1,5,19.2%,1,6.0,W
0,Jimmy Garoppolo,SFO,18,29,211,9,27.3,242,8.3,129,7.2,4.4,82,4.6,2,6.9%,5,17.2%,4,11,1,3,8,24.2%,0,,L
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,L
2,Russell Wilson,DEN,20,33,184,8,21.6,246,7.5,95,4.8,2.9,89,4.5,3,9.4%,5,15.6%,4,8,5,5,14,35.0%,3,6.7,L
0,Jimmy Garoppolo,SFO,29,41,296,15,36.6,313,7.6,84,2.9,2.0,212,7.3,3,7.3%,3,7.3%,0,5,0,4,4,9.5%,1,6.0,L
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,L
2,Marcus Mariota,ATL,13,14,129,7,43.8,77,5.5,72,5.5,5.1,57,4.4,0,0.0%,1,7.1%,2,2,0,0,2,11.8%,1,15.0,L
