,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
15,DeAndre Houston-Carson,CHI,0,6,5,83.3%,67,13.4,11.2,0,113.2,4.2,25,42,5,0,0,0.0,0,8,0,0.0%,W
16,Greg Stroman,CHI,1,6,4,66.7%,28,7.0,4.7,0,37.5,10.7,22,6,0,0,0,0.0,0,8,0,0.0%,W
17,Joe Thomas,CHI,0,3,3,100.0%,34,11.3,11.3,0,113.9,5.7,17,17,3,0,0,0.0,0,13,1,7.1%,W
18,Nicholas Morrow,CHI,0,3,2,66.7%,8,4.0,2.7,0,70.1,6.7,5,3,2,0,0,0.0,0,7,0,0.0%,W
19,Elijah Hicks,CHI,0,2,2,100.0%,96,48.0,48.0,0,118.7,27.5,55,41,0,0,0,0.0,0,11,0,0.0%,W
20,Jaquan Brisker,CHI,0,3,2,66.7%,30,15.0,10.0,1,138.9,17.0,19,11,1,0,0,0.0,0,10,0,0.0%,W
21,Justin Jones,CHI,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-2.0,-2,0,0,0,0,0.0,0,3,0,0.0%,W
22,Matthew Adams,CHI,0,1,1,100.0%,17,17.0,17.0,0,118.7,6.0,6,11,0,0,0,0.0,0,2,0,0.0%,W
23,Al-Quadin Muhammad,CHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,W
24,Dominique Robinson,CHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%,W
25,Trevis Gipson,CHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%,W
26,Armon Watts,CHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%,W
0,Cameron Dantzler,MIN,0,9,7,77.8%,65,9.3,7.2,0,96.8,10.2,33,32,0,0,0,0.0,0,4,0,0.0%,L
1,Harrison Smith,MIN,0,4,4,100.0%,51,12.8,12.8,0,118.7,9.8,39,12,0,0,0,0.0,0,13,0,0.0%,L
2,Jordan Hicks,MIN,1,5,4,80.0%,61,15.3,12.2,0,77.9,5.4,23,38,0,0,0,0.0,0,3,1,25.0%,L
3,Patrick Peterson,MIN,0,3,3,100.0%,28,9.3,9.3,0,105.6,6.0,18,10,0,0,0,0.0,0,3,0,0.0%,L
4,Eric Kendricks,MIN,0,3,2,66.7%,30,15.0,10.0,0,99.3,11.0,19,11,1,0,1,0.0,1,8,4,33.3%,L
5,Chandon Sullivan,MIN,0,2,2,100.0%,12,6.0,6.0,0,91.7,-2.0,-4,16,1,0,0,0.0,0,4,0,0.0%,L
6,Akayleb Evans,MIN,0,2,2,100.0%,14,7.0,7.0,0,95.8,4.5,9,5,0,0,0,0.0,0,2,0,0.0%,L
7,D.J. Wonnum,MIN,0,1,1,100.0%,19,19.0,19.0,0,118.7,5.0,5,14,0,0,0,1.0,1,3,0,0.0%,L
8,Camryn Bynum,MIN,0,2,1,50.0%,53,53.0,26.5,1,135.4,34.0,50,3,0,0,0,0.0,0,8,1,11.1%,L
9,Za'Darius Smith,MIN,0,0,0,,,,,,,,,,0,1,1,1.0,3,3,1,25.0%,L
10,Dalvin Tomlinson,MIN,0,0,0,,,,,,,,,,0,0,0,0.5,1,7,0,0.0%,L
11,Harrison Phillips,MIN,0,0,0,,,,,,,,,,0,0,0,0.5,1,3,0,0.0%,L
12,Danielle Hunter,MIN,0,0,0,,,,,,,,,,2,0,0,0.0,0,5,1,16.7%,L
13,James Lynch,MIN,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%,L
14,Josh Metellus,MIN,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%,L
15,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,L
16,T.J. Edwards,PHI,0,9,7,77.8%,43,6.1,4.8,0,86.6,1.8,18,25,5,1,1,0.0,2,10,2,16.7%,L
17,Avonte Maddox,PHI,1,5,4,80.0%,42,10.5,8.4,0,62.1,6.0,23,19,1,0,0,0.0,0,8,0,0.0%,L
18,C.J. Gardner-Johnson,PHI,0,4,3,75.0%,36,12.0,9.0,0,102.1,16.3,31,5,2,0,0,0.0,0,5,1,16.7%,L
19,James Bradberry,PHI,0,3,2,66.7%,17,8.5,5.7,0,81.2,3.3,7,10,0,0,0,0.0,0,1,2,66.7%,L
20,Kyzir White,PHI,0,5,2,40.0%,7,3.5,1.4,0,47.9,-1.2,-6,13,5,0,0,0.0,0,5,0,0.0%,L
21,Darius Slay,PHI,2,9,2,22.2%,19,9.5,2.1,0,0.0,10.2,14,5,0,0,0,0.0,0,1,0,0.0%,L
22,Haason Reddick,PHI,0,3,2,66.7%,25,12.5,8.3,0,92.4,1.3,8,17,4,0,0,0.0,0,2,1,33.3%,L
23,Marcus Epps,PHI,0,3,2,66.7%,29,14.5,9.7,0,97.9,8.3,21,8,0,0,0,0.0,0,6,0,0.0%,L
24,Josh Sweat,PHI,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-2.0,-2,1,1,2,2,1.0,5,3,1,25.0%,L
25,Patrick Johnson,PHI,0,1,1,100.0%,2,2.0,2.0,1,118.7,1.0,1,1,2,0,0,0.0,0,0,0,,L
26,Brandon Graham,PHI,0,1,1,100.0%,2,2.0,2.0,0,79.2,2.0,2,0,0,0,0,0.0,0,2,0,0.0%,L
27,Fletcher Cox,PHI,0,0,0,,,,,,,,,,0,0,1,1.0,2,3,0,0.0%,L
28,Milton Williams,PHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,L
29,Javon Hargrave,PHI,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,L
30,Zech McPhearson,PHI,0,1,0,0.0%,,,0.0,,39.6,8.0,,,0,0,0,0.0,0,1,0,0.0%,L
0,Ja'Whaun Bentley,NWE,0,8,7,87.5%,47,6.7,5.9,0,91.1,2.4,19,28,3,0,0,0.0,0,8,0,0.0%,W
1,Jonathan Jones,NWE,1,9,7,77.8%,99,14.1,11.0,1,110.0,9.4,76,23,0,0,0,0.0,0,7,0,0.0%,W
2,Jalen Mills,NWE,0,5,4,80.0%,29,7.3,5.8,1,130.4,4.8,21,8,1,0,1,0.0,1,4,0,0.0%,W
3,Kyle Dugger,NWE,0,3,3,100.0%,26,8.7,8.7,1,142.4,6.0,18,8,2,0,0,0.0,0,9,0,0.0%,W
4,Myles Bryant,NWE,0,3,2,66.7%,32,16.0,10.7,0,102.1,10.0,12,20,0,0,0,0.0,0,3,0,0.0%,W
5,Jabrill Peppers,NWE,0,2,2,100.0%,8,4.0,4.0,0,83.3,0.5,1,7,2,0,0,0.0,0,3,0,0.0%,W
6,Adrian Phillips,NWE,0,1,1,100.0%,4,4.0,4.0,0,83.3,4.0,4,0,1,0,0,0.0,0,4,0,0.0%,W
7,Lawrence Guy,NWE,0,1,1,100.0%,7,7.0,7.0,0,95.8,2.0,2,5,0,0,0,0.0,0,7,0,0.0%,W
8,Raekwon McMillan,NWE,0,1,1,100.0%,8,8.0,8.0,0,100.0,2.0,2,6,0,0,0,0.0,0,3,0,0.0%,W
9,Anfernee Jennings,NWE,0,1,1,100.0%,13,13.0,13.0,0,118.7,4.0,4,9,0,0,0,0.0,0,2,0,0.0%,W
10,Jack Jones,NWE,0,1,1,100.0%,21,21.0,21.0,0,118.7,12.0,12,9,0,0,0,0.0,0,1,0,0.0%,W
11,Devin McCourty,NWE,0,2,1,50.0%,16,16.0,8.0,0,77.1,5.0,8,8,0,0,0,0.0,0,7,0,0.0%,W
12,Matt Judon,NWE,0,0,0,,,,,,,,,,1,0,2,0.0,2,3,0,0.0%,W
13,Davon Godchaux,NWE,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,0,0.0%,W
14,Josh Uche,NWE,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,W
15,Mack Wilson,NWE,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%,W
16,Jahlani Tavai,NWE,0,0,0,,,,,,,,,,2,0,0,0.0,0,3,0,0.0%,W
17,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
18,Eric Kendricks,MIN,0,6,5,83.3%,57,11.4,9.5,0,106.2,4.7,24,33,0,0,0,0.0,0,8,1,11.1%,W
19,Duke Shelley,MIN,0,7,5,71.4%,86,17.2,12.3,0,112.8,11.0,75,11,0,0,0,0.0,0,6,0,0.0%,W
20,Patrick Peterson,MIN,0,4,4,100.0%,76,19.0,19.0,0,118.7,4.3,17,59,0,0,0,0.0,0,3,0,0.0%,W
21,Harrison Smith,MIN,0,5,4,80.0%,24,6.0,4.8,0,86.7,5.8,11,13,1,0,0,0.0,0,7,0,0.0%,W
22,Chandon Sullivan,MIN,0,6,4,66.7%,34,8.5,5.7,0,81.2,10.0,17,17,0,0,0,0.0,0,2,0,0.0%,W
23,Jordan Hicks,MIN,0,3,3,100.0%,32,10.7,10.7,0,111.1,6.0,18,14,3,0,0,1.0,1,8,0,0.0%,W
24,Camryn Bynum,MIN,0,3,2,66.7%,71,35.5,23.7,2,149.3,23.7,42,29,0,0,0,0.0,0,3,2,40.0%,W
25,D.J. Wonnum,MIN,0,1,1,100.0%,2,2.0,2.0,0,79.2,-5.0,-5,7,0,0,0,0.0,0,0,0,,W
26,Danielle Hunter,MIN,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%,W
27,Khyiris Tonga,MIN,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,W
28,Za'Darius Smith,MIN,0,0,0,,,,,,,,,,2,1,0,0.0,1,3,0,0.0%,W
29,Ross Blacklock,MIN,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%,W
0,Trevon Diggs,DAL,0,6,4,66.7%,36,9.0,6.0,0,82.6,12.3,26,10,0,0,0,0.0,0,3,0,0.0%,L
1,DaRon Bland,DAL,0,3,3,100.0%,21,7.0,7.0,0,95.8,4.0,12,9,0,0,0,0.0,0,2,0,0.0%,L
2,Leighton Vander Esch,DAL,0,2,2,100.0%,28,14.0,14.0,0,118.7,14.0,28,0,0,0,0,0.0,0,3,0,0.0%,L
3,Damone Clark,DAL,0,2,2,100.0%,19,9.5,9.5,0,106.2,0.0,0,19,0,0,0,0.0,0,3,0,0.0%,L
4,Micah Parsons,DAL,0,1,1,100.0%,0,0.0,0.0,0,79.2,-4.0,-4,4,2,0,3,2.0,5,4,0,0.0%,L
5,Donovan Wilson,DAL,0,3,1,33.3%,8,8.0,2.7,0,42.4,9.0,7,1,0,0,0,0.0,0,2,0,0.0%,L
6,Israel Mukuamu,DAL,0,1,1,100.0%,15,15.0,15.0,0,118.7,10.0,10,5,0,0,0,0.0,0,1,0,0.0%,L
7,Malik Hooker,DAL,0,2,1,50.0%,12,12.0,6.0,0,68.7,-1.0,-3,15,0,0,0,0.0,0,0,0,,L
8,Jabril Cox,DAL,0,1,1,100.0%,5,5.0,5.0,0,87.5,3.0,3,2,0,0,0,0.0,0,3,0,0.0%,L
9,Anthony Brown,DAL,0,4,1,25.0%,15,15.0,3.8,0,42.7,14.5,15,0,0,0,0,0.0,0,3,0,0.0%,L
10,Dorance Armstrong Jr.,DAL,0,0,0,,,,,,,,,,0,0,1,2.0,3,3,0,0.0%,L
11,Sam Williams,DAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%,L
12,Dante Fowler,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,L
13,Osa Odighizuwa,DAL,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,L
14,Jayron Kearse,DAL,0,3,0,0.0%,,,0.0,,39.6,1.7,,,2,0,0,1.0,1,5,0,0.0%,L
15,DeMarcus Lawrence,DAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,L
16,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,L
17,Andrew Booth,MIN,0,9,8,88.9%,91,11.4,10.1,0,108.8,7.6,56,35,0,0,0,0.0,0,9,1,10.0%,L
18,Patrick Peterson,MIN,0,5,5,100.0%,71,14.2,14.2,1,158.3,6.0,30,41,0,0,0,0.0,0,5,0,0.0%,L
