,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W/L
0,Patrick Mahomes,KAN,18,26,202,9,32.1,235,9.0,107,5.9,4.1,95,5.3,1,4.2%,2,8.3%,2,8,6,2,10,32.3%,3,9.7,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Jarrett Stidham,LVR,22,36,219,13,31.0,305,8.5,129,5.9,3.6,90,4.1,2,5.9%,5,14.7%,6,8,4,7,17,34.7%,7,7.1,W
0,Malik Willis,TEN,5,16,80,3,15.8,204,12.8,18,3.6,1.1,62,12.4,1,7.7%,5,38.5%,3,6,5,0,8,36.4%,3,4.3,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Patrick Mahomes,KAN,43,68,446,23,31.9,466,6.9,230,5.3,3.4,216,5.0,7,11.3%,9,14.5%,4,5,6,3,13,16.7%,6,10.5,W
0,Patrick Mahomes,KAN,23,37,249,17,42.5,262,7.1,126,5.5,3.4,123,5.3,3,8.3%,6,16.7%,3,10,2,3,8,18.6%,3,8.3,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Tom Brady,TAM,39,52,385,23,43.4,340,6.5,180,4.6,3.5,205,5.3,0,0.0%,9,17.3%,1,12,0,5,6,11.3%,0,,W
0,Trevor Lawrence,JAX,29,40,259,14,31.1,288,7.2,138,4.8,3.5,121,4.2,2,5.1%,3,7.7%,5,14,1,0,6,12.5%,3,8.3,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Patrick Mahomes,KAN,26,35,331,17,48.6,252,7.2,197,7.6,5.6,134,5.2,3,8.6%,4,11.4%,0,3,0,4,4,10.0%,5,8.0,W
0,Patrick Mahomes,KAN,20,34,329,15,42.9,340,10.0,187,9.4,5.5,142,7.1,1,3.1%,6,18.8%,1,13,0,5,6,15.8%,3,8.0,W
1,Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,W
2,Justin Herbert,LAC,23,30,280,12,34.3,243,8.1,169,7.3,5.6,111,4.8,0,0.0%,1,3.4%,5,10,0,5,10,27.0%,2,6.0,W
