,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
15,Jaylen Watson,KAN,0,4,4,100.0%,33,8.3,8.3,0,101.0,6.8,27,6,0,0,0,0.0,0,7,0,0.0%,W
16,Trent McDuffie,KAN,0,5,3,60.0%,17,5.7,3.4,0,66.2,3.4,1,16,3,0,1,1.0,2,7,0,0.0%,W
17,L'Jarius Sneed,KAN,1,4,3,75.0%,29,9.7,7.3,0,55.2,7.3,12,17,0,0,0,0.0,0,3,0,0.0%,W
18,Juan Thornhill,KAN,0,3,3,100.0%,26,8.7,8.7,1,142.4,6.7,20,6,0,0,0,0.0,0,6,1,14.3%,W
19,Chris Jones,KAN,0,1,1,100.0%,4,4.0,4.0,0,83.3,-5.0,-5,9,0,1,0,1.0,2,3,0,0.0%,W
20,Michael Danna,KAN,0,1,1,100.0%,4,4.0,4.0,0,83.3,-5.0,-5,9,0,1,1,0.0,2,0,0,,W
21,Justin Reid,KAN,0,5,1,20.0%,1,1.0,0.2,0,39.6,4.8,-4,5,3,0,1,0.0,1,3,0,0.0%,W
22,Willie Gay Jr.,KAN,0,1,1,100.0%,0,0.0,0.0,0,79.2,-3.0,-3,3,2,0,0,0.0,0,7,1,12.5%,W
23,Bryan Cook,KAN,0,3,1,33.3%,1,1.0,0.3,0,42.4,2.7,-5,6,0,0,0,0.0,0,2,1,33.3%,W
24,Leo Chenal,KAN,0,2,1,50.0%,6,6.0,3.0,0,56.2,0.5,6,0,0,0,0,0.0,0,5,0,0.0%,W
25,Frank Clark,KAN,0,0,0,,,,,,,,,,0,1,1,0.0,2,4,0,0.0%,W
26,George Karlaftis III,KAN,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%,W
27,Carlos Dunlap,KAN,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,W
28,Khalen Saunders,KAN,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%,W
29,Joshua Williams,KAN,0,1,0,0.0%,,,0.0,,39.6,18.0,,,0,0,0,0.0,0,0,0,,W
0,Jordyn Brooks,SEA,0,9,4,44.4%,82,20.5,9.1,0,77.1,6.4,37,45,0,0,0,0.0,0,8,4,33.3%,W
1,Michael Jackson,SEA,0,3,2,66.7%,16,8.0,5.3,1,119.4,8.3,6,10,0,0,0,0.0,0,3,1,25.0%,W
2,Tariq Woolen,SEA,0,3,2,66.7%,11,5.5,3.7,0,72.9,15.7,1,10,0,0,0,0.0,0,2,0,0.0%,W
3,Coby Bryant,SEA,0,3,2,66.7%,15,7.5,5.0,1,118.1,-0.3,-8,23,0,0,0,0.0,0,2,0,0.0%,W
4,Cody Barton,SEA,0,2,2,100.0%,20,10.0,10.0,0,108.3,6.5,13,7,0,0,0,0.0,0,9,0,0.0%,W
5,Darrell Taylor,SEA,0,1,1,100.0%,13,13.0,13.0,0,118.7,5.0,5,8,0,0,0,1.0,1,4,0,0.0%,W
6,Bruce Irvin,SEA,0,1,1,100.0%,8,8.0,8.0,0,100.0,0.0,0,8,1,0,1,0.0,1,0,1,100.0%,W
7,Teez Tabor,SEA,0,2,1,50.0%,27,27.0,13.5,0,95.8,16.5,15,12,0,0,0,0.0,0,3,1,25.0%,W
8,Johnathan Abram,SEA,0,2,1,50.0%,32,32.0,16.0,0,95.8,2.0,-4,36,0,0,0,0.0,0,0,0,,W
9,Quinton Jefferson,SEA,0,0,0,,,,,,,,,,0,2,1,0.0,3,0,1,100.0%,W
10,Shelby Harris,SEA,0,0,0,,,,,,,,,,0,1,0,0.0,1,6,0,0.0%,W
11,Quandre Diggs,SEA,0,1,0,0.0%,,,0.0,,39.6,14.0,,,0,0,0,0.0,0,1,0,0.0%,W
12,Boye Mafe,SEA,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%,W
13,Uchenna Nwosu,SEA,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%,W
14,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
15,Nick Bolton,KAN,0,9,8,88.9%,53,6.6,5.9,0,91.2,2.3,12,41,2,0,0,0.0,0,18,1,5.3%,W
16,L'Jarius Sneed,KAN,0,8,6,75.0%,78,13.0,9.8,0,105.2,9.1,54,24,0,0,0,0.0,0,7,0,0.0%,W
17,Justin Reid,KAN,0,4,4,100.0%,23,5.8,5.8,1,130.2,5.3,21,2,1,0,0,0.0,0,8,0,0.0%,W
18,Willie Gay Jr.,KAN,0,6,3,50.0%,5,1.7,0.8,0,56.2,0.7,-9,14,3,0,0,0.0,0,9,0,0.0%,W
19,Bryan Cook,KAN,0,4,2,50.0%,35,17.5,8.8,0,80.2,10.8,35,0,1,0,1,0.0,1,4,0,0.0%,W
20,Jaylen Watson,KAN,0,2,1,50.0%,6,6.0,3.0,0,56.2,4.5,6,0,0,0,0,0.0,0,2,0,0.0%,W
21,Joshua Williams,KAN,0,3,1,33.3%,17,17.0,5.7,0,53.5,8.7,17,0,1,0,0,0.0,0,2,0,0.0%,W
22,Trent McDuffie,KAN,0,4,1,25.0%,7,7.0,1.8,0,39.6,19.0,7,0,2,0,0,0.0,0,5,0,0.0%,W
23,Chris Jones,KAN,0,0,0,,,,,,,,,,0,1,3,1.0,5,4,0,0.0%,W
24,George Karlaftis III,KAN,0,0,0,,,,,,,,,,0,1,0,1.0,2,1,1,50.0%,W
25,Carlos Dunlap,KAN,0,0,0,,,,,,,,,,1,0,1,0.0,1,2,0,0.0%,W
26,Michael Danna,KAN,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,1,25.0%,W
27,Leo Chenal,KAN,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%,W
0,Nick Bolton,KAN,0,3,3,100.0%,31,10.3,10.3,0,109.7,2.7,8,23,0,0,1,0.0,1,7,1,12.5%,W
1,L'Jarius Sneed,KAN,0,7,3,42.9%,22,7.3,3.1,1,90.5,7.9,9,13,1,0,0,0.0,0,6,1,14.3%,W
2,Justin Reid,KAN,0,4,3,75.0%,11,3.7,2.8,0,77.1,5.3,4,7,0,0,0,0.0,0,6,0,0.0%,W
3,Willie Gay Jr.,KAN,0,3,2,66.7%,16,8.0,5.3,1,119.4,4.3,12,4,1,0,0,0.0,0,4,0,0.0%,W
4,Frank Clark,KAN,0,1,1,100.0%,0,0.0,0.0,0,79.2,-1.0,-1,1,0,0,0,1.0,1,5,0,0.0%,W
5,Juan Thornhill,KAN,0,4,1,25.0%,15,15.0,3.8,0,42.7,8.0,12,3,0,0,0,0.0,0,1,0,0.0%,W
6,Trent McDuffie,KAN,0,2,1,50.0%,34,34.0,17.0,0,95.8,17.0,22,12,1,0,0,0.0,0,1,0,0.0%,W
7,Carlos Dunlap,KAN,0,0,0,,,,,,,,,,0,0,2,0.0,2,3,0,0.0%,W
8,Michael Danna,KAN,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,W
9,George Karlaftis III,KAN,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%,W
10,Joshua Williams,KAN,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,0.0,0,1,0,0.0%,W
11,Leo Chenal,KAN,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,0.0,0,5,0,0.0%,W
12,Jaylen Watson,KAN,0,3,0,0.0%,,,0.0,,39.6,23.0,,,0,0,0,0.0,0,0,0,,W
13,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
14,Christian Harris,HOU,0,11,10,90.9%,62,6.2,5.6,0,90.2,0.7,6,56,2,0,1,0.0,1,13,1,7.1%,W
15,Christian Kirksey,HOU,0,7,7,100.0%,74,10.6,10.6,0,110.7,2.7,19,55,2,0,0,1.0,1,11,0,0.0%,W
16,Tremon Smith,HOU,0,7,6,85.7%,70,11.7,10.0,1,147.9,7.6,49,21,0,0,0,0.0,0,10,0,0.0%,W
